entry_timestamp,entry_price,side,symbol,exit_timestamp,exit_price,entry_atr,open,high,low,close,hold_minutes,price_move,atr_capture,return_frac,winner
2026-02-25 15:40:00+00:00,690.49,long,SPY,2026-02-25 17:00:00+00:00,692.02,0.8523109719986321,690.49,690.82,690.41,690.63,80.0,1.5299999999999727,1.7951194461479116,0.0022158177526103717,True
2026-02-25 16:50:00+00:00,692.29,short,SPY,2026-02-25 17:40:00+00:00,692.31,0.7285818139177122,692.29,692.34,692.0,692.07,50.0,-0.01999999999998181,-0.027450589100540823,-2.8889627179334977e-05,False
2026-02-25 17:30:00+00:00,691.97,long,SPY,2026-02-25 19:20:00+00:00,693.0,0.6333521237844486,691.97,692.28,691.89,692.28,110.0,1.0299999999999727,1.6262675395251647,0.001488503836871491,True
2026-02-25 19:41:00+00:00,693.18,short,SPY,2026-02-26 14:40:00+00:00,692.165,0.4070798408811847,693.18,693.26,693.08,693.18,1139.0,1.0149999999999864,2.4933683716758566,0.0014642661357800086,True
2026-02-26 14:50:00+00:00,691.05,short,SPY,2026-02-26 15:10:00+00:00,690.025,0.5641973302781028,691.05,691.535,690.48,690.68,20.0,1.0249999999999773,1.816740252022704,0.0014832501266188805,True
2026-02-26 15:30:00+00:00,685.6,long,SPY,2026-02-26 15:50:00+00:00,687.56,1.0541943448061466,685.6,686.63,684.37,686.55,20.0,1.9599999999999227,1.8592397214579468,0.002858809801633555,True
2026-02-26 16:00:00+00:00,687.685,short,SPY,2026-02-26 17:10:00+00:00,686.76,1.055796273884521,687.685,688.25,687.53,688.14,70.0,0.9249999999999545,0.8761159921474846,0.001345092593265746,True
2026-02-26 17:30:00+00:00,686.23,long,SPY,2026-02-26 19:20:00+00:00,688.89,1.051549398034563,686.23,687.07,685.75,685.9,110.0,2.659999999999968,2.5296006112235325,0.003876251402590958,True
2026-02-26 19:20:00+00:00,688.89,short,SPY,2026-02-27 14:40:00+00:00,684.06,1.0041311721231534,688.89,689.32,688.48,688.62,1160.0,4.830000000000041,4.810128531103561,0.007011279014066166,True
2026-02-27 14:50:00+00:00,683.5,long,SPY,2026-02-27 15:50:00+00:00,685.135,1.309411910513797,683.5,683.68,682.6,682.92,60.0,1.634999999999991,1.2486521520630107,0.002392099487929844,True
2026-02-27 16:00:00+00:00,685.24,short,SPY,2026-02-27 17:30:00+00:00,684.14,1.3737843607482945,685.24,685.92,684.69,684.79,90.0,1.1000000000000227,0.8007079068805656,0.0016052769832467788,True
2026-02-27 18:00:00+00:00,684.37,short,SPY,2026-02-27 18:40:00+00:00,683.69,1.2201770465949815,684.37,684.68,683.98,684.06,40.0,0.67999999999995,0.5572961742704091,0.0009936145652204946,True
2026-02-27 19:10:00+00:00,683.87,long,SPY,2026-02-27 20:20:00+00:00,685.57,1.0346398761327142,683.87,684.22,683.61,683.94,70.0,1.7000000000000455,1.6430837813387977,0.002485852574319658,True
2026-02-27 20:20:00+00:00,685.57,short,SPY,2026-03-02 14:40:00+00:00,681.0,0.9843102871942436,685.57,686.08,685.18,685.6,3980.0,4.57000000000005,4.642844903131858,0.006665985967880814,True
2026-03-02 14:40:00+00:00,681.0,long,SPY,2026-03-02 15:30:00+00:00,683.37,1.5504084857316192,681.0,683.31,681.0,683.22,50.0,2.3700000000000045,1.528629404322197,0.0034801762114538004,True
2026-03-02 15:40:00+00:00,683.83,long,SPY,2026-03-02 17:00:00+00:00,686.25,1.5791276823174467,683.83,684.83,683.51,684.21,80.0,2.419999999999959,1.5324916579566836,0.003538891244899922,True
2026-03-02 17:20:00+00:00,687.04,short,SPY,2026-03-02 18:20:00+00:00,686.59,1.4256646736521006,687.04,687.17,686.46,686.52,60.0,0.4499999999999318,0.3156422462563897,0.0006549836981834126,True
2026-03-02 18:40:00+00:00,686.16,long,SPY,2026-03-02 19:30:00+00:00,688.245,1.1010939935391795,686.16,686.31,685.33,685.8,50.0,2.0850000000000364,1.8935713138333883,0.0030386498775796245,True
2026-03-02 19:20:00+00:00,687.66,short,SPY,2026-03-02 20:20:00+00:00,686.08,1.0817481140533258,687.66,688.27,687.55,688.19,60.0,1.5799999999999272,1.4605988025064767,0.0022976470930400595,True
2026-03-02 20:30:00+00:00,685.37,short,SPY,2026-03-03 14:40:00+00:00,675.78,1.0989823790450282,685.37,686.4,685.2,686.125,1090.0,9.590000000000032,8.726254563183588,0.013992442038606931,True
2026-03-03 14:40:00+00:00,675.78,long,SPY,2026-03-03 17:00:00+00:00,677.57,2.0145857384398416,675.78,675.9,672.5,672.5,140.0,1.7900000000000773,0.8885201388282981,0.002648791026665487,True
2026-03-03 17:10:00+00:00,676.81,long,SPY,2026-03-03 18:50:00+00:00,681.4,1.9139009409813195,676.81,677.66,676.42,677.57,100.0,4.590000000000032,2.398243243271822,0.006781814689499344,True
2026-03-03 19:00:00+00:00,681.27,short,SPY,2026-03-03 19:40:00+00:00,680.82,1.6775054428227578,681.27,681.47,680.005,680.07,40.0,0.4499999999999318,0.26825546344738627,0.0006605310669777501,True
2026-03-03 19:50:00+00:00,682.01,short,SPY,2026-03-03 20:30:00+00:00,681.04,1.6816989728647098,682.01,682.37,680.75,681.25,40.0,0.9700000000000273,0.5767976407499789,0.001422266535681335,True
2026-03-03 20:20:00+00:00,680.48,long,SPY,2026-03-04 14:40:00+00:00,680.95,1.6008027126034161,680.48,681.28,680.17,681.01,1100.0,0.4700000000000273,0.29360270088227003,0.0006906889254643112,True
2026-03-04 14:50:00+00:00,680.85,long,SPY,2026-03-04 15:40:00+00:00,684.63,1.6337044527602511,680.85,681.67,680.31,681.01,50.0,3.7799999999999727,2.3137599910518785,0.005551883674818292,True
2026-03-04 16:00:00+00:00,685.86,short,SPY,2026-03-04 16:30:00+00:00,685.185,1.6382256069583103,685.86,686.615,685.52,685.67,30.0,0.6750000000000682,0.41203116172340826,0.0009841658647538392,True
2026-03-04 16:20:00+00:00,684.54,long,SPY,2026-03-04 17:00:00+00:00,685.78,1.5946945284487533,684.54,685.44,684.19,685.18,40.0,1.240000000000009,0.7775783875086253,0.0018114354164839863,True
2026-03-04 17:30:00+00:00,685.33,long,SPY,2026-03-04 18:10:00+00:00,686.22,1.3305200140977493,685.33,686.08,684.59,686.05,40.0,0.8899999999999864,0.6689113959728836,0.0012986444486597915,True
2026-03-04 18:20:00+00:00,685.6,long,SPY,2026-03-04 19:00:00+00:00,686.57,1.1331713675745179,685.6,686.13,685.38,686.105,40.0,0.9700000000000273,0.8560046853956885,0.0014148191365228602,True
2026-03-04 18:50:00+00:00,686.76,short,SPY,2026-03-05 14:40:00+00:00,683.63,1.024844203557293,686.76,686.86,686.21,686.54,1190.0,3.1299999999999955,3.0541227526443393,0.004557632943095107,True
2026-03-05 14:50:00+00:00,682.825,short,SPY,2026-03-05 15:40:00+00:00,681.3,1.0883149285733869,682.825,685.04,682.61,685.04,50.0,1.525000000000091,1.4012488113152421,0.0022333687255154553,True
2026-03-05 15:50:00+00:00,681.29,short,SPY,2026-03-05 17:40:00+00:00,678.09,1.3329894102468394,681.29,682.54,681.25,681.99,110.0,3.199999999999932,2.4006192212790083,0.004696971920914636,True
2026-03-05 18:10:00+00:00,677.79,short,SPY,2026-03-05 18:30:00+00:00,676.67,1.4612725519805618,677.79,678.23,676.38,676.44,20.0,1.1200000000000045,0.7664552368974512,0.0016524292184895094,True
