trace_kind,symbol,timestamp,open,high,low,close,volume,policy_event,policy_mode,policy_reason,policy_position,policy_signed_contracts,policy_long_contracts,policy_short_contracts,policy_open_long_symbol,policy_open_short_symbol,target_long_contracts,target_short_contracts,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
policy_1m,SPY,2026-03-09 16:10:00+00:00,669.85,669.94,669.68,669.7,5009.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-09 16:00:00+00:00,669.47,670.24,669.245,669.86,32372.0,,,,,,,,,,,,,,,policy_only,0.40907275676727295,0.03605803847312927,0.11357970535755157,,0.0013502512592822313,0.6094340085983276,0.21779154241085052,0.09493650496006012,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-09 16:11:00+00:00,669.66,669.69,669.545,669.6,6134.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:12:00+00:00,669.56,670.15,669.56,670.15,2612.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:13:00+00:00,670.11,670.17,669.91,669.97,1961.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:14:00+00:00,669.955,670.03,669.88,669.895,2257.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:15:00+00:00,669.92,669.92,669.69,669.73,1162.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:16:00+00:00,669.755,669.96,669.66,669.66,1463.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:17:00+00:00,669.605,669.64,669.58,669.64,5091.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:18:00+00:00,669.71,669.99,669.71,669.87,1318.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:19:00+00:00,669.905,669.98,669.87,669.98,846.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:20:00+00:00,670.0,670.0,669.45,669.45,2245.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-09 16:10:00+00:00,669.85,670.17,669.545,669.98,27853.0,,,,,,,,,,,,,,,policy_only,0.28976690769195557,0.08285634964704514,0.10300475358963013,,8.466074359603226e-05,0.013829686678946018,0.16552093625068665,0.18760012090206146,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-09 16:21:00+00:00,669.42,669.61,669.32,669.61,1781.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:22:00+00:00,669.47,669.525,669.27,669.41,2109.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:23:00+00:00,669.43,670.42,669.43,670.39,4244.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:24:00+00:00,670.56,670.62,670.36,670.36,1476.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:25:00+00:00,670.47,670.48,670.29,670.41,1849.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:26:00+00:00,670.61,671.55,670.61,671.4,4453.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:27:00+00:00,671.41,671.56,671.335,671.49,5785.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:28:00+00:00,671.44,671.5,671.405,671.46,2308.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:29:00+00:00,671.34,671.34,670.765,670.89,6483.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_670,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 16:30:00+00:00,670.93,670.93,670.38,670.41,4573.0,close_long,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
