symbol,timestamp,open,high,low,close,volume,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
SPY,2026-02-11 18:30:00+00:00,692.8,692.945,692.24,692.78,22482.0,-1.0,-1,-1,hold_aligned,0.016997862607240677,0.8922361731529236,,0.12545815110206604,0.33120080828666687,0.6868370175361633,0.060733795166015625,0.9737850427627563,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 18:40:00+00:00,692.7,692.86,692.19,692.86,21737.0,-1.0,-1,-1,hold_aligned,0.023426515981554985,0.8533864617347717,,0.1674913763999939,0.6069390773773193,0.20811210572719574,0.06988824903964996,0.9727016091346741,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 18:50:00+00:00,692.89,692.99,692.09,692.72,23544.0,-1.0,-1,-1,hold_aligned,0.04826445132493973,0.8258532881736755,,0.12541334331035614,0.3820856511592865,0.29864758253097534,0.07505667954683304,0.9764972925186157,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 19:00:00+00:00,692.74,692.87,692.13,692.695,13712.0,-1.0,-1,-1,hold_aligned,0.049612242728471756,0.8247478604316711,,0.1460265815258026,0.03745657205581665,0.018813280388712883,0.07277730852365494,0.9781270027160645,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 19:10:00+00:00,692.65,693.46,692.56,693.38,17087.0,-1.0,-1,-1,hold_aligned,0.026901697739958763,0.8973765969276428,,0.17878197133541107,0.6659488677978516,0.5508391857147217,0.06758984923362732,0.9685146808624268,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 19:20:00+00:00,693.365,693.91,693.345,693.745,14166.0,-1.0,-1,-1,hold_aligned,0.035605378448963165,0.9017825722694397,,0.2260705977678299,0.022323984652757645,0.8226379752159119,0.06315837055444717,0.9662083387374878,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 19:30:00+00:00,693.61,693.84,693.34,693.67,12652.0,-1.0,-1,-1,hold_aligned,0.06542851775884628,0.797878623008728,,0.1589110940694809,0.19658321142196655,0.7713623046875,0.0580969974398613,0.965776801109314,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 19:40:00+00:00,693.53,693.75,692.48,693.17,14105.0,-1.0,-1,-1,hold_aligned,0.1647757589817047,0.6444226503372192,,0.13593652844429016,0.5305989980697632,0.2061692178249359,0.04713164269924164,0.9742482900619507,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 19:50:00+00:00,693.16,693.22,692.82,693.0,14244.0,-1.0,-1,-1,hold_aligned,0.18829987943172455,0.6901828646659851,,0.08700671046972275,0.043119851499795914,0.005754923447966576,0.04469875246286392,0.9792018532752991,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 20:00:00+00:00,692.865,693.09,692.71,692.83,15828.0,-1.0,-1,-1,hold_aligned,0.15403832495212555,0.6767980456352234,,0.11572667211294174,0.3858204185962677,0.14674967527389526,0.050060421228408813,0.983745813369751,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 20:10:00+00:00,692.73,693.07,692.63,692.74,23365.0,-1.0,-1,-1,hold_aligned,0.1479445844888687,0.7632680535316467,,0.1293138712644577,0.5133174061775208,0.275382399559021,0.059510137885808945,0.9811267256736755,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
