trace_kind,symbol,timestamp,open,high,low,close,volume,policy_event,policy_mode,policy_reason,policy_position,policy_signed_contracts,policy_long_contracts,policy_short_contracts,policy_open_long_symbol,policy_open_short_symbol,target_long_contracts,target_short_contracts,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
policy_1m,SPY,2026-03-04 14:30:00+00:00,681.69,683.47,681.43,682.8,12615.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260304_C_682,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-03 20:50:00+00:00,680.52,680.63,679.24,680.29,213702.0,,,,,,,,,,,,,,,policy_only,0.9183517694473267,0.05789628624916077,0.2749596834182739,,0.9483706951141357,0.02809004858136177,0.9706138968467712,0.018904296681284904,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 14:31:00+00:00,682.67,682.99,682.26,682.26,5113.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260304_C_682,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:32:00+00:00,682.2,682.81,682.2,682.48,2192.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260304_C_682,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:33:00+00:00,682.33,682.795,682.33,682.585,2732.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260304_C_682,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:34:00+00:00,682.62,682.89,682.46,682.765,6124.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260304_C_682,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:35:00+00:00,682.75,682.88,681.25,681.42,9125.0,close_long,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:36:00+00:00,681.59,681.635,680.85,680.87,4801.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:37:00+00:00,680.89,681.485,680.79,681.35,4793.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:38:00+00:00,681.34,681.59,680.98,680.98,4279.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:39:00+00:00,681.03,681.29,680.89,681.0,5730.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:40:00+00:00,680.95,680.95,680.34,680.53,5427.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-04 14:30:00+00:00,681.69,683.47,680.79,681.0,57504.0,,,,,,,,,,,,,,,policy_only,0.9287749528884888,0.01703234761953354,0.933968186378479,,0.018475620076060295,0.6263638138771057,0.9815055727958679,0.010045395232737064,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 14:41:00+00:00,680.52,680.71,680.16,680.27,2880.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:42:00+00:00,680.23,680.47,680.11,680.37,1781.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:43:00+00:00,680.24,680.55,680.17,680.29,4765.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:44:00+00:00,680.32,680.4,680.075,680.28,4865.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:45:00+00:00,680.22,680.22,679.63,679.88,3912.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:46:00+00:00,680.07,680.72,680.05,680.61,6342.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:47:00+00:00,680.71,681.37,680.46,680.49,4267.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:48:00+00:00,680.66,680.89,680.45,680.89,1863.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:49:00+00:00,681.09,681.655,681.06,681.06,2461.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:50:00+00:00,680.85,680.85,680.31,680.4,1423.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-04 14:40:00+00:00,680.95,681.655,679.63,681.06,38563.0,,,,,,,,,,,,,,,policy_only,0.9426032304763794,0.010482970625162125,,,0.035441894084215164,0.4847036898136139,0.9797711968421936,0.013980654068291187,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 14:51:00+00:00,680.4,680.905,680.4,680.85,3995.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:52:00+00:00,680.83,681.31,680.68,681.25,2156.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:53:00+00:00,681.33,681.645,681.33,681.52,1945.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:54:00+00:00,681.53,681.67,681.33,681.46,3412.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:55:00+00:00,681.535,681.535,680.84,680.88,4851.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:56:00+00:00,681.24,681.24,680.92,681.1,3307.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:57:00+00:00,680.99,681.17,680.91,680.91,1194.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:58:00+00:00,680.98,681.03,680.88,680.98,1373.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 14:59:00+00:00,680.875,681.035,680.81,681.01,3694.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:00:00+00:00,681.64,682.67,681.64,682.25,4665.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-04 14:50:00+00:00,680.85,681.67,680.31,681.01,27350.0,,,,,,,,,,,,,,,policy_only,0.9588621854782104,0.005737564526498318,0.10557370632886887,,0.06620510667562485,0.22813425958156586,0.9769737124443054,0.012699669227004051,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 15:01:00+00:00,682.32,682.485,682.12,682.35,5187.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:02:00+00:00,682.32,682.4,681.94,682.05,3435.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
