group,policy,n,mean,median,win,std,ret_std,avg_hold,ret_per_bar,stop,trail,target,scale_frac,horizon,grace
scaleout_grid,scale 25%@+10% + horizon25,1430,0.05449120334089842,0.02790037618547847,0.5944055944055944,0.345526940436889,0.1577046445987656,25.0,0.002179648133635937,,,0.1,0.25,25.0,
scaleout_grid,scale 25%@+15% + horizon25,1430,0.05632869559487283,0.025634716119067313,0.593006993006993,0.3491494755240071,0.1613311763116188,25.0,0.0022531478237949134,,,0.15,0.25,25.0,
scaleout_grid,scale 25%@+20% + horizon25,1430,0.0578643895078727,0.02392588676824725,0.5825174825174825,0.3518991196379525,0.1644345958222511,25.0,0.002314575580314908,,,0.2,0.25,25.0,
scaleout_grid,scale 25%@+30% + horizon25,1430,0.06009028900706412,0.022851181784226293,0.5776223776223777,0.3563382036454923,0.1686327438156076,25.0,0.0024036115602825646,,,0.3,0.25,25.0,
scaleout_grid,scale 25%@+50% + horizon25,1430,0.062338801863447084,0.022234087252992696,0.5748251748251748,0.36185414538643546,0.17227604729213067,25.0,0.002493552074537883,,,0.5,0.25,25.0,
scaleout_grid,scale 50%@+10% + horizon25,1430,0.042839356528200985,0.03731490007995098,0.6237762237762238,0.24691809298968717,0.173496223016716,25.0,0.0017135742611280392,,,0.1,0.5,25.0,
scaleout_grid,scale 50%@+15% + horizon25,1430,0.0465143410361498,0.03409108407761013,0.6048951048951049,0.2552015363512486,0.1822651293608571,25.0,0.0018605736414459924,,,0.15,0.5,25.0,
scaleout_grid,scale 50%@+20% + horizon25,1430,0.04958572886214952,0.02635657701893457,0.5895104895104896,0.26140563073104944,0.1896888323464097,25.0,0.001983429154485981,,,0.2,0.5,25.0,
scaleout_grid,scale 50%@+30% + horizon25,1430,0.05403752786053238,0.023145358014062256,0.5783216783216784,0.27132967165281796,0.19915819575264343,25.0,0.0021615011144212955,,,0.3,0.5,25.0,
scaleout_grid,scale 50%@+50% + horizon25,1430,0.05853455357329829,0.022234087252992696,0.5748251748251748,0.2834207275178713,0.2065288381902391,25.0,0.0023413821429319314,,,0.5,0.5,25.0,
scaleout_grid,scale 75%@+10% + horizon25,1430,0.031187509715503558,0.05584477652434522,0.651048951048951,0.15863891385363876,0.1965943220228887,25.0,0.0012475003886201423,,,0.1,0.75,25.0,
scaleout_grid,scale 75%@+15% + horizon25,1430,0.036699986477426776,0.04147424466425853,0.6125874125874126,0.17347816706072355,0.2115539211604678,25.0,0.0014679994590970707,,,0.15,0.75,25.0,
scaleout_grid,scale 75%@+20% + horizon25,1430,0.04130706821642637,0.02772152938666339,0.5909090909090909,0.18419286327786513,0.2242598734898451,25.0,0.0016522827286570548,,,0.2,0.75,25.0,
scaleout_grid,scale 75%@+30% + horizon25,1430,0.04798476671400065,0.023145358014062256,0.5783216783216784,0.200887771605173,0.23886355217434754,25.0,0.0019193906685600257,,,0.3,0.75,25.0,
scaleout_grid,scale 75%@+50% + horizon25,1430,0.054730305283149504,0.022234087252992696,0.5748251748251748,0.22044030828081052,0.2482772125932189,25.0,0.00218921221132598,,,0.5,0.75,25.0,
scaleout_grid,scale 100%@+10% + horizon25,1764,0.020008710026612097,0.1,0.6632653061224489,0.11240913799481474,0.17799896328299455,16.69501133786848,0.01040026402111247,,,0.1,1.0,25.0,
scaleout_grid,scale 100%@+15% + horizon25,1636,0.02887115065983283,0.04848344360939094,0.6118581907090465,0.13128740723976598,0.21990799625668875,19.46515892420538,0.00898906369747378,,,0.15,1.0,25.0,
scaleout_grid,scale 100%@+20% + horizon25,1566,0.03510076910147493,0.03096197434100678,0.5932311621966795,0.14640814791242987,0.23974600868846124,21.24648786717752,0.007537684362646151,,,0.2,1.0,25.0,
scaleout_grid,scale 100%@+30% + horizon25,1492,0.04376582506394111,0.024509590529432912,0.5797587131367292,0.16652770773410544,0.262814072561558,23.14946380697051,0.005476691059645224,,,0.3,1.0,25.0,
scaleout_grid,scale 100%@+50% + horizon25,1447,0.052591033267696013,0.022922636103151817,0.5749827228749136,0.1907537076013541,0.2757012376273345,24.409813407049068,0.003741623596878258,,,0.5,1.0,25.0,
