date,theme,ticker,leader_score,leader_rank,stock_return_5d,stock_vs_theme_5d,rvol,breakout_quality,stock_above_20d
2026-05-19,biotech,VRTX,0.7681818181818182,2.0,-0.018559430648976916,0.03780534472314388,0.47280256854430697,-0.028892412502601772,1.0
2026-05-19,biotech,AMGN,0.715909090909091,3.0,-0.007758553770101262,0.048606221602019536,0.4788050105250994,-0.04285214573836105,0.0
2026-05-19,business_apps,DOCU,0.8575,1.0,0.08897743316976348,0.038743314667251595,0.8076411941416549,0.0,1.0
2026-05-19,business_apps,ADBE,0.7325,2.0,0.05281734469954613,0.002583226197034251,0.7586028547556556,-0.011539536864747513,1.0
2026-05-19,business_apps,WDAY,0.6775000000000001,3.0,0.0843027494441162,0.03406863094160432,0.630105419407647,-0.017267800132255262,1.0
2026-05-19,china_internet,JD,0.9181818181818181,1.0,0.033820277605540294,0.055821389596869414,0.8217730806703365,-0.0359786833318968,1.0
2026-05-19,china_internet,PDD,0.7022727272727274,2.0,0.016243604414990953,0.03824471640632007,0.6279901140044192,-0.04911537500141683,0.0
2026-05-19,china_internet,TME,0.7022727272727274,3.0,0.003858858719927083,0.0258599707112562,0.9020540974021892,-0.05842818299895558,0.0
2026-05-19,cloud,ZS,0.8985294117647059,1.0,0.20407745915531006,0.16208306134366268,1.0933103932768808,0.0,1.0
2026-05-19,cloud,NOW,0.8691176470588236,2.0,0.1473033776443995,0.10530897983275211,1.4236446726294736,-0.012666772208347554,1.0
2026-05-19,cloud,SNOW,0.8661764705882353,3.0,0.11871826168271782,0.07672386387107044,1.255318339443914,0.0,1.0
2026-05-19,consumer,CMG,0.7916666666666666,1.0,0.0234160773560399,0.028390052526343357,0.3471934442485626,-0.047707183364921524,1.0
2026-05-19,consumer,SBUX,0.675,2.0,0.006616239394273693,0.01159021456457715,0.3317704460446666,-0.0014978097095295073,1.0
2026-05-19,consumer,DPZ,0.6250000000000001,3.0,0.008995384678810225,0.013969359849113683,0.488355647571493,-0.15961760547613446,0.0
2026-05-19,consumer_internet,DUOL,0.931578947368421,1.0,0.07268176630879308,0.0876829604713489,0.6111767863322768,0.0,1.0
2026-05-19,consumer_internet,GOOGL,0.8842105263157894,2.0,0.009939346954564776,0.024940541117120588,0.7948990821956664,-0.028364172293113055,1.0
2026-05-19,consumer_internet,NFLX,0.7960526315789473,3.0,0.014145537439733458,0.02914673160228927,0.6949169941124298,-0.0503151271633665,0.0
2026-05-19,consumer_staples,KR,0.9166666666666667,1.0,0.1032744928246292,0.07929610869307105,0.9644862539978643,0.0,1.0
2026-05-19,consumer_staples,COST,0.8416666666666668,2.0,0.06533547415490726,0.04135709002334911,0.7315660655749858,0.0,1.0
2026-05-19,consumer_staples,TGT,0.7958333333333334,3.0,0.043013381853903576,0.01903499772234543,1.305801919896851,-0.027266236288156942,1.0
2026-05-19,copper,TECK,0.9500000000000001,1.0,-0.09140522180408517,0.0044250693145713865,0.9165904868052743,-0.10323156925833243,0.0
2026-05-19,copper,SCCO,0.5833333333333333,2.0,-0.09764554674852022,-0.001815255629863663,0.4195176573820149,-0.11188702532176531,0.0
2026-05-19,copper,FCX,0.4666666666666666,3.0,-0.09844010480336429,-0.0026098136847077374,0.4355648931839247,-0.15392270803166175,0.0
2026-05-19,creative_software,ADBE,0.9625000000000001,1.0,0.05281734469954613,0.039648039213204644,0.7586028547556556,-0.011539536864747513,1.0
2026-05-19,creative_software,ADSK,0.7,2.0,0.03789334244603193,0.024724036959690443,0.6483925486734409,-0.028959485373255323,1.0
2026-05-19,creative_software,PTC,0.5875,3.0,0.010955497279720339,-0.0022138082066211484,0.6207761115247943,-0.012529569395198004,1.0
2026-05-19,cybersecurity,ZS,0.91,1.0,0.20407745915531006,0.10008331979100034,1.0933103932768808,0.0,1.0
2026-05-19,cybersecurity,CRWD,0.8450000000000001,2.0,0.13374709577897725,0.029752956414667533,1.0851901810543754,0.0,1.0
2026-05-19,cybersecurity,TENB,0.68,3.0,0.12470247041135818,0.02070833104704846,0.7747159375236017,0.0,1.0
2026-05-19,data_centers,SNOW,0.9388888888888889,1.0,0.11871826168271782,0.1436516382886201,1.255318339443914,0.0,1.0
2026-05-19,data_centers,CSCO,0.8750000000000001,2.0,0.17625138320714107,0.20118475981304335,0.776204239080325,-0.01758072330230087,1.0
2026-05-19,data_centers,NTAP,0.763888888888889,3.0,0.03854422780821354,0.06347760441411582,0.5332454886275528,0.0,1.0
2026-05-19,defense,RKLB,0.925,1.0,0.0879551223376942,0.09961575750214786,0.9323769342965711,-0.035081112175178064,1.0
2026-05-19,defense,TDG,0.7500000000000001,2.0,-0.0064892929331021865,0.005171342231351477,0.7119346924174615,-0.04711832755078971,1.0
2026-05-19,defense,HEI,0.7250000000000001,3.0,0.02115267901083029,0.03281331417528395,0.2441148320287986,-0.011425169387196954,1.0
2026-05-19,dev_tools,SNOW,0.9166666666666666,1.0,0.11871826168271782,0.08044529348762927,1.255318339443914,0.0,1.0
2026-05-19,dev_tools,MDB,0.8083333333333335,2.0,0.07657419032581303,0.038301222130724476,0.7953794278492105,0.0,1.0
2026-05-19,dev_tools,DDOG,0.7000000000000001,3.0,0.056967086378756804,0.01869411818366825,0.6366652458460003,0.0,1.0
2026-05-19,energy,OXY,0.8367187500000001,1.0,0.08014924977508064,0.07373864764238108,0.7623684720797925,0.0,1.0
2026-05-19,energy,APA,0.8351562499999999,2.0,0.10595848716656242,0.09954788503386286,0.8090283630239662,-0.023798191078202136,1.0
2026-05-19,energy,KMI,0.75703125,3.0,0.06625570602873809,0.05984510389603854,0.6383490965166966,0.0,1.0
2026-05-19,fintech,INTU,0.9384615384615385,1.0,0.028330881894592652,0.04691689430480554,0.7583739587109627,-0.024358879198089878,1.0
2026-05-19,fintech,V,0.8153846153846154,2.0,0.013448881656367151,0.03203489406658004,0.5804508483891986,-0.010046582682434857,1.0
2026-05-19,fintech,SCHW,0.7846153846153847,3.0,0.028165900498245744,0.046751912908458634,0.48621547968413065,0.0,1.0
2026-05-19,gold,GLD,0.8285714285714286,1.0,-0.04612755308837779,0.05385704777797683,0.6683735916301745,-0.051233786266178694,0.0
2026-05-19,gold,FNV,0.7071428571428572,2.0,-0.05890298191505139,0.04108161895130323,0.61713448863729,-0.09824534410747554,0.0
2026-05-19,gold,AEM,0.65,3.0,-0.1179650343363402,-0.017980433469985582,0.8143435295564999,-0.14830701995493922,0.0
2026-05-19,growth,QQQ,1.0,1.0,-0.0026228444295623987,0.0,0.847013555791639,-0.020012738022828547,1.0
2026-05-19,healthcare,HUM,0.92,1.0,0.0473336048073425,0.03992830182067186,0.5046119123841523,0.0,1.0
2026-05-19,healthcare,ELV,0.79,2.0,0.026875178368382713,0.019469875381712076,0.4818374262734467,0.0,1.0
2026-05-19,healthcare,CNC,0.5,3.0,-0.0040465633604735984,-0.011451866347144235,0.30449979461899346,-0.0040465633604735984,1.0
2026-05-19,insurance,ALL,0.9208333333333334,1.0,0.046433400594658725,0.015336592428560225,1.5527316118726164,0.0,1.0
2026-05-19,insurance,MET,0.7708333333333334,2.0,0.037004116031216894,0.005907307865118394,0.4773585936985294,0.0,1.0
