ticker,asset_type,date,px,avg_dollar_volume_20d,market_cap,min_price,min_avg_dollar_volume_20d,min_market_cap,market_cap_missing,is_exception,passes_price,passes_adv20,passes_market_cap,is_eligible
BWA,stock,2026-06-01,71.08,15837034.3785,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BX,stock,2026-06-01,116.9,22205678.097,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BXMT,stock,2026-06-01,17.93,1484195.5085,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BXP,stock,2026-06-01,59.11,3452797.4695,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BYD,stock,2026-06-01,86.79,4114434.538,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
C,stock,2026-06-01,129.06,62207526.10775,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CAI,stock,2026-06-01,16.435,3415520.39275,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CAKE,stock,2026-06-01,65.83,3828055.25675,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CALM,stock,2026-06-01,75.145,2635124.445,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CALX,stock,2026-06-01,40.17,1637422.61175,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CALY,stock,2026-06-01,15.25,4233330.37175,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CAMT,stock,2026-06-01,162.9,5847268.295,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CAR,stock,2026-06-01,169.3,4513043.681750002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CARR,stock,2026-06-01,65.11,22622644.868,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CAT,stock,2026-06-01,865.21,98344207.42825,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CAVA,stock,2026-06-01,74.66,13044415.038,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CB,stock,2026-06-01,309.8,22055766.781,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CBRE,stock,2026-06-01,124.6,17766612.941999998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CBRL,stock,2026-06-01,35.035,1402268.31475,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CC,stock,2026-06-01,22.315,4695909.636499999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CCI,stock,2026-06-01,91.04,15993982.663250003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CCJ,stock,2026-06-01,112.585,14619576.065000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
