date,best_themes,short_themes,short_tickers,selected_short_basket_same_day_long_return,selected_short_basket_next_1d_long_return,selected_short_basket_next_5d_long_return,short_pnl_next_1d_before_cost,short_pnl_next_5d_before_cost,short_basket_next_1d_positive_return,short_basket_next_5d_positive_return,short_pnl_equity_before_cost
2018-02-08,ai_apps|apparel_beauty_lifestyle|quantum_computing,natural_gas|semicap_equipment|nuclear,ACLS|AR|DNN|EQT|LNG|LRCX|NXE|UCTT|UEC,-0.050485492827315785,0.010002597500021674,0.10682236978065873,-0.010002597500021674,-0.10682236978065873,True,True,1.088156001996327
2018-02-09,ai_apps|apparel_beauty_lifestyle|defense,additive_manufacturing|oil_services|natural_gas,AR|BKR|DDD|EQT|NBR|NNDM|PTEN|RRC|SSYS,-0.02035278015382009,0.02517493008441534,0.031640982768860154,-0.02517493008441534,-0.031640982768860154,True,True,1.0607617507251326
2018-02-12,ai_apps|workflow_software|quantum_computing,additive_manufacturing|oil_services|natural_gas,AR|DDD|EQT|LBRT|NBR|NNDM|PTEN|RRC|SSYS,0.026128065530051585,-0.001492486648053114,0.0052599838493354095,0.001492486648053114,-0.0052599838493354095,False,True,1.0623449234748552
2018-02-13,workflow_software|networking|ai_apps,oil_services|oil_exploration|additive_manufacturing,APA|BKR|DDD|DVN|LBRT|NNDM|PTEN|SSYS|USO,-0.006094357821010976,0.0254316348151054,-0.021922133292149686,-0.0254316348151054,0.021922133292149686,True,False,1.0353277553333617
2018-02-14,workflow_software|networking|cloud,oil_services|oil_exploration|managed_care_insurance,APA|BKR|CNC|DVN|ELV|MOH|NBR|PTEN|USO,0.013504224915621841,-0.010531867735337985,-0.020489946942267665,0.010531867735337985,0.020489946942267665,False,False,1.046231690315257
2018-02-15,workflow_software|mega_cap_platforms|networking,oil_services|managed_care_insurance|managed_care,BKR|CNC|CVS|ELV|LBRT|MOH|SLB,-0.006084679130654691,0.006316570054181054,0.014381506055352726,-0.006316570054181054,-0.014381506055352726,True,True,1.0396230945504765
2018-02-16,workflow_software|mega_cap_platforms|ai_apps,oil_services|cloud_neocloud|additive_manufacturing,BKR|DDD|DELL|META|NNDM|PTEN|RIG|SSYS|WULF,-0.037271371990031534,0.002392927746542687,0.07694861686051492,-0.002392927746542687,-0.07694861686051492,True,True,1.0371353516015802
2018-02-20,workflow_software|mega_cap_platforms|business_apps,oil_services|managed_care_insurance|oil_exploration,APA|AROC|CI|COP|DVN|ELV|MOH|RIG|SLB,-0.006783658960869928,-0.023262209330076968,0.013989326824857972,0.023262209330076968,-0.013989326824857972,False,True,1.0612614112541592
2018-02-21,workflow_software|solar|cloud,oil_services|managed_care_insurance|managed_care,AROC|CI|CNC|MOH|NBR|SLB,-0.007457696298123133,0.012388961236279972,0.024660798802997836,-0.012388961236279972,-0.024660798802997836,True,True,1.0481134847685716
2018-02-22,workflow_software|solar|mega_cap_platforms,additive_manufacturing|oil_services|managed_care_insurance,CI|CNC|DDD|HAL|HP|MOH|NBR|NNDM|SSYS,0.0012644801116364038,0.020826004665362257,-0.003941355169290173,-0.020826004665362257,0.003941355169290173,True,False,1.0262854684449523
2018-02-23,workflow_software|mega_cap_platforms|ai_apps_agents,managed_care_insurance|managed_care|oil_services,CNC|CVS|ELV|HP|LBRT|MOH|SLB,0.01618507833481773,0.006962799373290363,-0.025360675881484655,-0.006962799373290363,0.025360675881484655,True,False,1.0191396486284467
2018-02-26,workflow_software|solar|mega_cap_platforms,managed_care_insurance|managed_care|gold,AEM|CI|CVS|ELV|GLD|PAAS|UNH,0.00556551955742974,-0.011817309540052699,-0.020961683091300625,0.011817309540052699,0.020961683091300625,False,False,1.0311831373208296
2018-02-27,workflow_software|cybersecurity|solar,uranium|gold|oil_services,AEM|DNN|FTI|HAL|LBRT|PAAS|UEC|UUUU|WPM,-0.02580753935087168,-0.0242107162556026,0.006258823649746146,0.0242107162556026,-0.006258823649746146,False,True,1.0561488196660662
2018-02-28,workflow_software|solar|business_apps,uranium|nuclear|nuclear_uranium,BW|LEU|NXE|UEC|UUUU,-0.03129798249629272,0.009990210066664739,0.007335549283951947,-0.009990210066664739,-0.007335549283951947,True,True,1.0455976710959423
2018-03-01,workflow_software|business_apps|storage,uranium|gold|nuclear,AEM|CCJ|DNN|FNV|PAAS|UEC,0.003506077411406424,0.01724104235312927,0.008123774982256285,-0.01724104235312927,-0.008123774982256285,True,True,1.0275704773642438
2018-03-02,workflow_software|business_apps|vertical_software,gold|copper|nuclear_uranium,AEM|BW|CCJ|FCX|FNV|HBM|RIO|UEC|WPM,-0.006967810337516835,0.005453077835564837,0.026734310947560378,-0.005453077835564837,-0.026734310947560378,True,True,1.021967055569648
2018-03-05,workflow_software|business_apps|vertical_software,gold|lithium_battery_materials|datacenter_reits_towers,AEM|ALB|AMT|COR|FNV|LAR|NEM|SBAC|SQM,0.00560470532540981,0.016371822588441817,0.048103681365173366,-0.016371822588441817,-0.048103681365173366,True,True,1.0052355922446294
2018-03-06,workflow_software|business_apps|solar,datacenter_reits_towers|gaming_sports_betting|lithium_battery_materials,ALB|CCI|COR|EA|FLUT|LAR|SBAC|SQM|TTWO,0.0059788144794688585,0.009831260443489845,0.04142420579224856,-0.009831260443489845,-0.04142420579224856,True,True,0.9953528593302068
2018-03-07,workflow_software|business_apps|vertical_software,nuclear|uranium|crypto_infrastructure,CLSK|DNN|LEU|MARA|NXE|RIOT,-0.021135308873099685,-0.017022913859289907,-0.0256312082512678,0.017022913859289907,0.0256312082512678,False,False,1.0122966653141827
2018-03-08,workflow_software|cybersecurity|business_apps,crypto_infrastructure|ai_apps|uranium,HUT|LEU|MARA|NXE|RIOT|SNAP|UUUU,-0.020186256148814308,-0.017886884082344005,-0.06523007676591015,0.017886884082344005,0.06523007676591015,False,False,1.030403498423601
2018-03-09,workflow_software|business_apps|cloud,crypto_infrastructure|uranium|nuclear,DNN|HUT|MARA|NXE|RIOT|UEC|UUUU,-0.011886335636725904,0.070799386743871,-0.03819679466598263,-0.070799386743871,0.03819679466598263,True,False,0.9574515626364708
2018-03-12,solar|workflow_software|cloud,crypto_infrastructure|copper|uranium,BHP|CLSK|DNN|HUT|NXE|RIO|RIOT|TECK|UUUU,-0.005768498192605078,-0.014333416296635784,-0.0400978322405395,0.014333416296635784,0.0400978322405395,False,False,0.9711751144676037
2018-03-13,solar|cloud|business_apps,crypto_infrastructure|copper|uranium,DNN|HUT|RIO|RIOT|SCCO|TECK|UEC|UUUU|WULF,-0.014071599900735761,-0.010716007606922472,-0.03171213955833679,0.010716007606922472,0.03171213955833679,False,False,0.9815822343818923
2018-03-14,solar|cloud|workflow_software,crypto_infrastructure|copper|retail,BHP|HUT|JD|KR|RIOT|SCCO|TECK|TGT|WULF,-0.013726237034340468,-0.006957358477247889,-0.016504864470629734,0.006957358477247889,0.016504864470629734,False,False,0.9884114538613852
2018-03-15,solar|cloud|business_apps,crypto_infrastructure|rare_earth_critical_minerals|copper_metals,ALB|CLF|HUT|IAG|LAR|NUE|RIOT|UUUU|WULF,-0.013004044354011233,0.01958406565960629,-0.03671406310474997,-0.01958406565960629,0.03671406310474997,True,False,0.969054339050257
2018-03-16,solar|memory|renewables_storage,crypto_infrastructure|ai_apps|rare_earth_critical_minerals,ALB|CLSK|HUT|LAR|RIOT|SNAP|UUUU,-0.02040140088981043,0.026398343473710346,0.002189170573591407,-0.026398343473710346,-0.002189170573591407,True,True,0.9434729097633189
2018-03-19,solar|renewables_storage|memory_storage,ai_apps|rare_earth_critical_minerals|digital_ads_media,ALB|LAR|ROKU|SNAP|TTD|UUUU|WBD,-0.03231930488856253,-0.008153421564995576,-0.018044397597166424,0.008153421564995576,0.018044397597166424,False,False,0.9511654421317723
2018-03-20,solar|renewables_storage|cloud,ai_apps|crypto_infrastructure|rare_earth_critical_minerals,ALB|HUT|LAR|MARA|RIOT|SNAP|UUUU,-0.03401565935657009,0.04358903445380426,-0.0721740973348634,-0.04358903445380426,0.0721740973348634,True,False,0.9097050589034226
2018-03-21,solar|renewables_storage|cloud,ai_apps|crypto_infrastructure|digital_ads_media,HUT|MARA|ROKU|SNAP|TTD|WBD|WULF,0.022352065697559414,-0.015157986289803551,-0.08093925930709508,0.015157986289803551,0.08093925930709508,False,False,0.9234943557140455
2018-03-22,solar|renewables_storage|cloud,crypto_infrastructure|streaming_entertainment|ai_apps,HUT|LYV|ROKU|SBET|SNAP|WBD|WULF,-0.013501032671360587,-0.012656479359277542,-0.028251338678420303,0.012656479359277542,0.028251338678420303,False,False,0.9351825429655497
2018-03-23,solar|renewables_storage|cloud,streaming_entertainment|crypto_infrastructure|ai_apps,LYV|MARA|P|RIOT|SNAP|WBD|WULF,-0.02893566029537734,-0.0027804725447620232,-0.0726154307020503,0.0027804725447620232,0.0726154307020503,False,False,0.9377827923506061
2018-03-26,solar|renewables_storage|cloud,crypto_infrastructure|ai_apps|streaming_entertainment,MARA|P|RIOT|SNAP|T|WBD|WULF,-0.007629005355858246,-0.018511924258418983,-0.0515152544430662,0.018511924258418983,0.0515152544430662,False,False,0.9551429563734493
2018-03-27,solar|renewables_storage|cloud,crypto_infrastructure|rare_earth_critical_minerals|lithium_battery_materials,ALB|HUT|LAR|MARA|RIOT|SQM|UUUU,-0.03911385890720033,-0.0189934735619872,0.02339191243903108,0.0189934735619872,-0.02339191243903108,False,True,0.9732844388632467
2018-03-28,solar|renewables_storage|utilities_yield,ai_apps|crypto_infrastructure|lithium_battery_materials,ALB|HUT|LAR|MARA|RIOT|SNAP|SQM,-0.024017613624536836,0.01611949930457925,0.02933205122139821,-0.01611949930457925,-0.02933205122139821,True,True,0.9575955810278328
2018-03-29,solar|renewables_storage|gold,ai_apps|crypto_infrastructure|digital_ads_media,HUT|MARA|MGNI|RIOT|SNAP|TTD,-0.014410929522463922,-0.033044447896279416,-0.0006020760185538506,0.033044447896279416,0.0006020760185538506,False,False,0.9892387983108145
2018-04-02,solar|renewables_storage|gold,ai_apps|additive_manufacturing|digital_ads_media,DDD|MGNI|NNDM|SNAP|SSYS|TTD,-0.047161291920407945,-0.0015915595516018954,0.029962123698115756,0.0015915595516018954,-0.029962123698115756,False,True,0.9908132307690812
2018-04-03,solar|gold|silver,additive_manufacturing|ai_apps|crypto_infrastructure,DDD|MARA|NNDM|RIOT|SBET|SNAP|SSYS,-0.005876397756167455,0.015443263008736758,0.022783926736421507,-0.015443263008736758,-0.022783926736421507,True,True,0.9755118414537781
2018-04-04,solar|gold|managed_care_insurance,additive_manufacturing|ai_apps|networking,CSCO|DDD|MRVL|NNDM|QCOM|SNAP|SSYS,0.006686705156547711,0.001221478866901049,0.022323229349818976,-0.001221478866901049,-0.022323229349818976,True,True,0.9743202743550305
