date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short
2025-09-30 11:15:00-04:00,0,1,0,0,1.0,1,0,661.625,662.4959687125561,1.0,0.0013164084074150928,1.0,662.27,664.0119374251121,4.0,0.002630252653920806,1,0,,,0,0,0,,,,,,,,,,,,
2025-09-30 11:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.03,663.7582276090327,3.0,0.002610497423126912,1,0,0.15000000000000002,0.35,0,0,0,,,,,3.0,0,,,,,,
2025-09-30 11:45:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.95,663.77,10.0,0.001236895693491169,1,0,0.09999999999999998,0.30000000000000004,2,1,0,4.1914541487933334,1.3140775169191081,1.2461079901817218,1.3140775169191081,2.0,0,2.0,,0,,0.9,
2025-09-30 12:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.745,664.28,10.0,0.002316124602977032,1,0,0.050000000000000044,0.25,2,1,0,4.57270244191836,1.1182921464871323,1.528137435775486,1.1182921464871323,1.0,0,1.0,,0,,0.95,
2025-09-30 12:15:00-04:00,1,0,0,0,-1.0,0,1,664.05,663.163803561034,2.0,-0.0013345326992936224,1.0,663.385,664.42,10.0,0.001560179985981014,1,0,,,1,0,1,3.6842847211278165,1.7998266861252656,0.29903076603333084,1.7998266861252656,,,,,,,,
2025-09-30 12:30:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,663.6,661.909206613349,3.0,-0.0025479104681298548,0,1,0.65,0.15000000000000002,1,0,1,3.6077737517547277,2.141006718254547,0.05914383199592623,2.141006718254547,3.0,0,,3.0,,0,,0.85
2025-09-30 12:45:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.83,664.5471652876046,8.0,0.0025906571633820263,1,0,0.6,0.09999999999999998,1,0,1,4.4491931296013965,1.2112986530853072,0.09317681946800889,1.2112986530853072,2.0,0,,2.0,,0,,0.9
2025-09-30 13:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.37,664.0795106242042,6.0,0.0025808998357477186,1,0,0.55,0.050000000000000044,0,0,0,,,,,1.0,0,,,,,,
2025-09-30 13:15:00-04:00,0,1,0,0,1.0,1,0,661.79,662.6379870755234,2.0,0.001281353715715472,1.0,662.18,663.8759741510466,4.0,0.0025611980897137787,1,0,,,2,1,0,5.872731016479798,0.4304310885571293,0.22995633498270082,0.4304310885571293,,,,,,,,
2025-09-30 13:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.23,663.8848331402577,3.0,0.0024988797551570574,1,0,0.44999999999999996,0.55,2,1,0,5.958304653280455,-0.06042905327865209,1.0333368110659125,-0.06042905327865209,9.0,0,9.0,,0,,0.55,
2025-09-30 13:45:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,662.485,664.1437736302393,3.0,0.002503865944495809,1,0,0.4,0.5,2,1,0,5.636694380444969,0.0663140515347241,1.5734515864129357,0.0663140515347241,8.0,0,8.0,,0,,0.6,
2025-09-30 14:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,663.73,665.4645755137936,5.0,0.002613375188395217,1,0,0.35,0.44999999999999996,2,1,0,3.954858088015302,0.7379327044693226,3.3668179641413087,0.7379327044693226,7.0,0,7.0,,0,,0.65,
2025-09-30 14:15:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,663.77,665.4621058342369,4.0,0.0025492351782046008,1,0,0.30000000000000004,0.4,2,1,0,4.006841571501105,0.8037322326314341,3.404042397027496,0.8037322326314341,6.0,0,6.0,,0,,0.7,
2025-09-30 14:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,664.28,665.94766970322,5.0,0.0025104921166074767,1,0,0.25,0.35,2,1,0,3.8856615236747603,1.427141115176766,2.8422894478732017,1.427141115176766,5.0,0,5.0,,0,,0.75,
2025-09-30 14:45:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,664.42,666.0285504387042,4.0,0.0024209843754015026,1,0,0.19999999999999996,0.30000000000000004,2,1,0,4.525813940819992,1.6536627860687592,2.772682716491402,1.6536627860687592,4.0,0,4.0,,0,,0.8,
2025-09-30 15:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,664.66,666.216511121654,3.0,0.002341815547278303,1,0,0.15000000000000002,0.25,2,1,0,4.368744884247343,2.0173321965494404,2.55700068225068,2.0173321965494404,3.0,0,3.0,,0,,0.85,
2025-09-30 15:15:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,665.36,663.195,3.0,-0.0032538776000961,0,1,0.09999999999999998,0.19999999999999996,2,1,0,3.3939935482867742,2.8534686498559667,1.6215746952925651,2.8534686498559667,2.0,0,2.0,,0,,0.9,
2025-09-30 15:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,664.98,666.5738284671404,1.0,0.002396806621462799,1,0,0.050000000000000044,0.15000000000000002,2,1,0,4.6680054682098415,2.3716479394936756,2.095583099975857,2.3716479394936756,1.0,0,1.0,,0,,0.95,
2025-09-30 15:45:00-04:00,1,0,1,0,-1.0,0,1,666.65,665.7907224973991,1.0,-0.0012889484776132942,-1.0,666.06,663.195,1.0,-0.0043014142870010375,0,1,,,1,0,1,3.340015293444686,3.456392132937426,-0.7971813505259318,3.456392132937426,,,,,,,,
2025-10-01 09:30:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,665.26,663.2499132094555,1.0,-0.0030215055625537612,0,1,0.44999999999999996,0.050000000000000044,1,0,1,3.960028013438965,2.159110751045817,0.02487454782308634,2.159110751045817,1.0,0,,1.0,,0,,0.95
2025-10-01 09:45:00-04:00,0,1,0,0,1.0,1,0,663.09,664.18004029561,1.0,0.001643879858857611,1.0,663.715,665.89508059122,3.0,0.0032846637355190555,1,0,,,2,1,0,5.169533660998063,0.256871237813648,0.9265712506846503,0.256871237813648,,,,,,,,
