date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short,trend_phase_ret,trend_phase_m,trend_phase_dm,trend_phase_a,trend_phase_label,trend_phase_dead,trend_phase_ignition,trend_phase_expansion,trend_phase_saturation
2025-08-07 10:50:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,632.65,631.93,10.0,-0.0011380700229195462,0,1,0.44999999999999996,0.35,1,0,1,0.472444507229456,3.5484690706034936,0.472444507229456,0.4416329089317965,7.0,0,,7.0,,0,,0.65,-0.0016017927453780834,-0.00016050830927098972,-0.0001517141511691677,-2.9424645433286185e-05,0,1,0,0,0
2025-08-07 11:00:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,632.38,630.444632682178,10.0,-0.0030604499159080367,0,1,0.4,0.30000000000000004,1,0,1,0.656206182829022,3.2913648697802036,0.656206182829022,0.6200373381061949,6.0,0,,6.0,,0,,0.7,-0.0004267762585947743,-0.00018586716158754064,-2.5358852316550924e-05,-2.903742704121616e-05,0,1,0,0,0
2025-08-07 11:10:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,632.69,630.7414446334511,9.0,-0.003079794791365331,0,1,0.35,0.25,1,0,1,0.33358046230478383,3.5872729715552794,0.33358046230478383,0.9340252944536748,5.0,0,,5.0,,0,,0.75,0.0004902115816440844,-0.00012147870985119542,6.438845173634522e-05,-2.013972430049603e-05,0,1,0,0,0
2025-08-07 11:20:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,631.88,630.89,10.0,-0.0015667531809837598,0,1,0.30000000000000004,0.19999999999999996,1,0,1,0.7251480391979825,2.7041978961756525,0.7251480391979825,0.7150765386535757,4.0,0,,4.0,,0,,0.8,-0.0012802478306912501,-0.00023183767374072443,-0.00011035896388952901,-2.8732032832784887e-05,0,1,0,0,0
2025-08-07 11:30:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,632.105,630.1481844033328,7.0,-0.003095712890528013,0,1,0.25,0.15000000000000002,1,0,1,0.5059240133235622,2.974219957114215,0.5059240133235622,0.9556342473890025,3.0,0,,3.0,,0,,0.85,0.0003560802684055009,-0.00017584548877441726,5.599218496630718e-05,-2.0663059709061834e-05,0,1,0,0,0
2025-08-07 11:40:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,631.405,630.0,10.0,-0.0022251961894504957,0,1,0.19999999999999996,0.09999999999999998,1,0,1,1.244393407228898,2.3013468033269064,1.244393407228898,0.24471334786510107,2.0,0,,2.0,,0,,0.9,-0.0011074109522943854,-0.0002645660091096523,-8.872052033523505e-05,-2.714472262584024e-05,0,1,0,0,0
2025-08-07 11:50:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,631.98,630.0708579804248,9.0,-0.003020889932553672,0,1,0.15000000000000002,0.050000000000000044,1,0,1,0.6495064208349788,2.917540938750616,0.6495064208349788,0.848548711090915,1.0,0,,1.0,,0,,0.95,0.0009106674796683922,-0.00015263901017840997,0.00011192699893124234,-1.3899796763260946e-05,0,1,0,0,0
2025-08-07 12:00:00-04:00,0,1,0,0,1.0,1,0,631.17,632.11531593766,1.0,0.0014977200083337028,-1.0,631.615,630.57,10.0,-0.0016544888895925203,0,1,,,1,0,1,1.0419796818810532,2.559990690509717,1.0419796818810532,0.33851116568729395,,,,,,,,,-0.0005775499224659475,-0.0001931067161105564,-4.046770593214643e-05,-1.6430073826964328e-05,0,1,0,0,0
2025-08-07 12:10:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,632.105,630.1786989729172,3.0,-0.0030474383640103353,0,1,0.050000000000000044,0.15000000000000002,1,0,1,0.5139383648148058,3.0213346295172823,0.5139383648148058,0.062295559371552414,3.0,0,,3.0,,0,,0.85,0.0007757890487085639,-0.0001008309289849259,9.22757871256305e-05,-6.077134688621965e-06,0,1,0,0,0
2025-08-07 12:20:00-04:00,1,0,0,0,-1.0,0,1,632.6,631.6660030945687,2.0,-0.0014764415198091907,-1.0,632.23,630.3620061891374,2.0,-0.0029546111555328602,0,1,,,1,0,1,0.3854402492198554,3.2494754343950127,0.3854402492198554,0.5246270058825708,,,,,,,,,0.0001977519557667673,-7.239446377047893e-05,2.8436465214446972e-05,-2.790125174043971e-06,0,1,0,0,0
