theme,start,end,days,avg_rank,max_rank,total_return
vertical_software,2018-11-15,2018-11-20,3,10.25,17.0,-0.031191744873490856
pharma,2018-11-16,2018-12-18,20,6.619047619047619,15.0,-0.03559196371902007
autos,2018-11-19,2018-12-06,11,4.25,13.0,0.003286352666206138
china_internet,2018-11-21,2018-11-29,5,5.333333333333333,14.0,0.04667041738148758
semis,2018-11-23,2018-12-06,8,6.888888888888889,16.0,0.031186394218283953
ai_infrastructure,2018-11-26,2018-12-12,11,8.75,13.0,0.03316797306102104
data_centers,2018-11-27,2018-11-28,1,9.5,14.0,0.020318808583930537
workflow_software,2018-11-28,2019-01-24,37,3.1578947368421053,13.0,0.19425258712066173
biotech,2018-11-29,2018-12-13,9,9.2,16.0,-0.03840213270189452
business_apps,2018-11-29,2019-01-03,22,6.565217391304348,19.0,-0.08347035063827235
cloud,2018-11-30,2019-01-10,26,4.2592592592592595,23.0,0.022939248616493435
dev_tools,2018-12-04,2019-01-10,24,3.6,17.0,-0.028939253632648487
gold,2018-12-13,2019-01-08,16,2.823529411764706,14.0,0.02435496849090657
autos,2018-12-17,2018-12-19,2,8.666666666666666,15.0,-0.038171362109997165
ai_infrastructure,2018-12-21,2018-12-24,1,8.0,13.0,-0.05976468841301774
pharma,2018-12-21,2019-01-07,9,6.3,14.0,0.035090932155500854
china_internet,2018-12-24,2018-12-31,4,9.2,22.0,0.0312246324270129
consumer_internet,2018-12-24,2018-12-28,3,9.5,13.0,0.05578493794193151
retail,2018-12-26,2019-01-15,13,5.071428571428571,16.0,0.13736880158928222
biotech,2019-01-04,2019-01-16,8,7.444444444444445,17.0,0.10752661691752885
ai_apps,2019-01-07,2019-01-14,5,7.666666666666667,15.0,0.049449098427409854
china_internet,2019-01-10,2019-01-11,1,11.5,20.0,-0.014779804249426487
semis,2019-01-10,2019-01-15,3,7.25,13.0,-0.0010269975169406864
autos,2019-01-11,2019-01-18,5,6.166666666666667,16.0,0.006594200615239965
consumer,2019-01-11,2019-01-14,1,12.0,19.0,-0.004560470256172788
aerospace,2019-01-14,2019-01-16,2,11.666666666666666,20.0,0.0010960060603886213
payments,2019-01-14,2019-01-23,6,6.714285714285714,14.0,0.006956357009118452
regional_banks,2019-01-14,2019-01-31,12,6.461538461538462,33.0,0.04661974126659452
ai_apps,2019-01-15,2019-01-17,2,10.333333333333334,16.0,0.017783854975696123
fintech,2019-01-15,2019-01-29,9,4.8,14.0,0.022789894764794205
oil_exploration,2019-01-15,2019-01-23,5,7.833333333333333,18.0,-0.004425098465448585
asset_managers,2019-01-16,2019-01-24,5,6.833333333333333,14.0,0.03493881435888113
china_internet,2019-01-16,2019-01-22,3,10.0,15.0,0.022711445742993552
