date,action,theme,theme_rank,theme_score,tickers
2018-03-21,exit,payments,22.0,0.46809440559440557,XYZ|PYPL|GPN
2018-03-21,exit,insurance,9.0,0.5878496503496503,ALL|MET|PGR
2018-03-21,exit,fintech,23.0,0.46372377622377625,XYZ|V|PYPL
2018-03-21,enter,uranium,2.0,0.6669580419580421,UUUU|CCJ|LEU
2018-03-21,enter,nuclear,3.0,0.6617132867132867,UUUU|CCJ|LEU
2018-03-22,enter,consumer,1.0,0.7736013986013985,CMG|DPZ|TXRH
2018-03-22,enter,restaurants,2.0,0.763986013986014,CMG|DPZ|TXRH
2018-03-22,enter,gold,3.0,0.736013986013986,WPM|AEM|GLD
2018-03-23,enter,aerospace,1.0,0.8050699300699302,NOC|LHX|LMT
2018-03-26,exit,uranium,29.0,0.4200174825174825,UUUU|CCJ|LEU
2018-03-26,exit,nuclear,25.0,0.45891608391608385,UUUU|CCJ|LEU
2018-03-26,exit,consumer,15.0,0.5297202797202798,CMG|DPZ|TXRH
2018-03-26,exit,restaurants,10.0,0.5546328671328672,CMG|DPZ|TXRH
2018-03-26,exit,gold,17.0,0.5227272727272727,WPM|AEM|GLD
2018-03-26,enter,defense,1.0,0.7386363636363636,LHX|HEI|NOC
2018-03-26,enter,dev_tools,2.0,0.7067307692307692,MDB|PTC|CDNS
2018-03-26,enter,autos,3.0,0.6923076923076923,ON|MCHP|F
2018-03-27,exit,dev_tools,14.0,0.5148601398601399,MDB|PTC|CDNS
2018-03-27,exit,autos,10.0,0.5646853146853147,ON|MCHP|F
2018-03-27,enter,consumer_staples,3.0,0.7246503496503496,CL|PG|KO
2018-03-28,exit,oil_exploration,14.0,0.5795454545454546,USO|APA|COP
2018-03-28,exit,aerospace,12.0,0.6075174825174825,NOC|LHX|LMT
2018-03-28,exit,defense,10.0,0.6289335664335665,LHX|HEI|NOC
2018-03-28,enter,restaurants,2.0,0.7027972027972027,YUM|DPZ|MCD
2018-03-28,enter,pharma,3.0,0.694493006993007,MRK|NVO|LLY
2018-03-29,exit,consumer_staples,11.0,0.6127622377622378,CL|PG|KO
2018-03-29,exit,restaurants,25.0,0.4313811188811189,YUM|DPZ|MCD
2018-03-29,exit,pharma,13.0,0.590034965034965,MRK|NVO|LLY
2018-03-29,enter,medtech,1.0,0.8002622377622377,DXCM|EW|MDT
2018-03-29,enter,gold,2.0,0.7373251748251749,GOLD|PAAS|NEM
2018-03-29,enter,oil_exploration,3.0,0.6866258741258741,COP|APA|USO
2018-04-02,exit,oil_exploration,32.0,0.32910839160839156,COP|APA|USO
2018-04-02,enter,consumer_staples,1.0,0.75,CL|DG|MCD
2018-04-02,enter,defense,2.0,0.7425699300699299,LHX|AXON|RTX
2018-04-02,enter,mega_banks,3.0,0.7373251748251748,JPM|GS|AXP
2018-04-03,exit,gold,25.0,0.42569930069930073,GOLD|PAAS|NEM
2018-04-03,exit,defense,11.0,0.6223776223776224,LHX|AXON|RTX
2018-04-03,enter,insurance,1.0,0.7451923076923077,PGR|ALL|TRV
2018-04-03,enter,regional_banks,2.0,0.7416958041958042,COF|TFC|PNC
2018-04-04,exit,medtech,24.0,0.49737762237762234,DXCM|EW|MDT
2018-04-05,exit,consumer_staples,25.0,0.4375,CL|DG|MCD
2018-04-05,exit,insurance,34.0,0.28452797202797203,PGR|ALL|TRV
