theme,start,end,days,peak_return,avg_return
mega_cap_platforms,2020-07-08,2020-07-08,1,0.015346351147797385,0.015346351147797385
china_internet,2020-07-09,2020-07-09,1,0.03039403546383258,0.03039403546383258
cybersecurity,2020-07-09,2020-07-09,1,0.02024095709974962,0.02024095709974962
copper,2020-07-10,2020-07-13,2,0.018705755543106644,0.008092142056646481
copper_metals,2020-07-10,2020-07-13,2,0.03249612190173114,0.012674663377664626
mega_banks,2020-07-10,2020-07-10,1,0.050811744315680106,0.050811744315680106
gold_silver_miners,2020-07-13,2020-07-14,2,0.049950314775795424,0.011760238957607711
silver,2020-07-14,2020-07-14,1,0.047292199636775605,0.047292199636775605
solar,2020-07-14,2020-07-14,1,0.09429346792196897,0.09429346792196897
airlines_travel,2020-07-15,2020-07-15,1,0.11868620269949236,0.11868620269949236
electronics_components,2020-07-15,2020-07-15,1,0.03272973583550809,0.03272973583550809
industrial_automation,2020-07-15,2020-07-15,1,0.026967936558983076,0.026967936558983076
banks_brokers_exchanges,2020-07-16,2020-07-16,1,-0.004679776643893939,-0.004679776643893939
homebuilders_housing,2020-07-16,2020-07-16,1,0.015159769404546102,0.015159769404546102
insurance,2020-07-16,2020-07-16,1,0.015592985558280073,0.015592985558280073
agriculture_food_inputs,2020-07-17,2020-07-17,1,0.011859570156332792,0.011859570156332792
power_grid_electrification,2020-07-17,2020-07-17,1,0.011053872490152545,0.011053872490152545
quantum_computing,2020-07-17,2020-07-17,1,0.03437492391884267,0.03437492391884267
gold_silver_miners,2020-07-20,2020-07-28,7,0.06217110701939893,0.025487833352177643
solar,2020-07-20,2020-07-20,1,0.0402600976833567,0.0402600976833567
uranium,2020-07-20,2020-07-23,4,0.04923146338992127,0.023519953306937968
energy,2020-07-21,2020-07-21,1,0.04906873629071841,0.04906873629071841
oil_gas,2020-07-21,2020-07-21,1,0.05458052632228089,0.05458052632228089
oil_services,2020-07-21,2020-07-21,1,0.08840232667987956,0.08840232667987956
crypto_infrastructure,2020-07-22,2020-07-22,1,0.06147121018827855,0.06147121018827855
homebuilders_housing,2020-07-22,2020-07-22,1,0.035527860200504476,0.035527860200504476
networking_optical,2020-07-23,2020-07-23,1,0.00973517835844607,0.00973517835844607
nuclear,2020-07-23,2020-07-23,1,0.008381088531591207,0.008381088531591207
copper_metals,2020-07-24,2020-07-27,2,0.0315545700511174,0.02661074537139082
silver,2020-07-24,2020-07-24,1,0.02087602721307705,0.02087602721307705
homebuilders_housing,2020-07-27,2020-07-27,1,0.04025324724916922,0.04025324724916922
crypto_infrastructure,2020-07-28,2020-07-28,1,0.05172273388995387,0.05172273388995387
real_estate_reits,2020-07-28,2020-07-31,4,0.0211198388028822,0.00853153381066889
datacenter_reits_towers,2020-07-29,2020-07-29,1,0.017001794474443943,0.017001794474443943
medtech_devices,2020-07-29,2020-07-29,1,0.031207334026165223,0.031207334026165223
regional_banks,2020-07-29,2020-07-29,1,0.03906903950142932,0.03906903950142932
ai_infrastructure,2020-07-30,2020-07-30,1,0.007218447338526812,0.007218447338526812
consumer_internet_marketplaces,2020-07-30,2020-08-05,5,0.05173881558516804,0.03106930604174426
semicap_equipment,2020-07-30,2020-07-30,1,0.03669481546901044,0.03669481546901044
ai_apps,2020-07-31,2020-07-31,1,0.18085035656047344,0.18085035656047344
networking,2020-07-31,2020-07-31,1,0.014765886207157556,0.014765886207157556
fintech,2020-08-03,2020-08-03,1,0.015673362771697535,0.015673362771697535
fintech_payments,2020-08-03,2020-08-03,1,0.014482049805586103,0.014482049805586103
natural_gas,2020-08-04,2020-08-07,4,0.05133856781986079,0.02154725446978225
networking_optical,2020-08-04,2020-08-04,1,0.028072885967536928,0.028072885967536928
oil_gas,2020-08-04,2020-08-04,1,0.040499923196442356,0.040499923196442356
crypto_infrastructure,2020-08-05,2020-08-05,1,0.09245989176266635,0.09245989176266635
solar,2020-08-05,2020-08-05,1,0.07029505790303386,0.07029505790303386
airlines_travel,2020-08-06,2020-08-14,7,0.058863067190400804,0.010536696780548178
consumer_internet,2020-08-06,2020-08-06,1,0.0034164905579958937,0.0034164905579958937
transport_logistics,2020-08-06,2020-08-06,1,0.013287765822935952,0.013287765822935952
construction_infrastructure,2020-08-07,2020-08-07,1,0.017011343903977415,0.017011343903977415
datacenter_infra,2020-08-07,2020-08-12,4,0.017123854614316723,0.012512882621033275
agriculture_food_inputs,2020-08-10,2020-08-14,5,0.02564441782657078,0.008200123360774273
oil_gas,2020-08-10,2020-08-10,1,0.03130092332970615,0.03130092332970615
defense,2020-08-11,2020-08-11,1,0.0055817799678234414,0.0055817799678234414
apparel_beauty_lifestyle,2020-08-12,2020-08-13,2,0.01285585009375765,0.005610372148127367
homebuilders_housing,2020-08-12,2020-08-12,1,0.024502485626349792,0.024502485626349792
