,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short
6399,0,0,0,0,0.0,0,0,694.85,695.2390653257964,8.0,0.0005599270717369098,0.6,0.09999999999999998,2,1,0,1.9733795319017082,3.258062851327681,1.9733795319017082,0.609231264882451,12.0,0,12.0,1.0,0,0,0.4,0.95
6400,0,0,0,0,0.0,0,0,694.85,695.2390653257964,8.0,0.0005599270717369098,0.55,0.050000000000000044,2,1,0,2.1050255255690637,3.3295174979586672,2.1050255255690637,0.5778501442737717,11.0,0,11.0,1.0,0,0,0.44999999999999996,0.95
6401,0,1,0,0,1.0,1,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.55,0.050000000000000044,2,1,0,2.283961801501213,3.31954696615706,2.283961801501213,0.08511658887590476,11.0,0,11.0,1.0,0,0,0.44999999999999996,0.95
6402,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.44999999999999996,0.85,2,1,0,2.106503408381931,3.712159852533001,2.106503408381931,0.05892317226237542,9.0,0,9.0,1.0,0,0,0.55,0.95
6403,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.4,0.8,2,1,0,1.7150472251761595,4.253619329401781,1.7150472251761595,0.1737713047535467,8.0,0,8.0,1.0,0,0,0.6,0.95
6404,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.35,0.75,2,1,0,1.5306927939692065,4.6389363245801025,1.5306927939692065,0.28895731314733514,7.0,0,7.0,1.0,0,0,0.65,0.95
6405,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.30000000000000004,0.7,2,1,0,1.6368470807199618,4.828698888123962,1.6368470807199618,0.2700797683189202,6.0,0,6.0,1.0,0,0,0.7,0.95
6406,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.25,0.65,2,1,0,1.4607931055953747,5.24866360033684,1.4607931055953747,0.518071973496134,5.0,0,5.0,1.0,0,0,0.75,0.95
6407,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.19999999999999996,0.6,2,1,0,1.439791489980081,5.495789467850454,1.439791489980081,0.6057659317599231,4.0,0,4.0,1.0,0,0,0.8,0.95
6408,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.15000000000000002,0.55,2,1,0,1.4038813474539487,5.844917766850966,1.4038813474539487,0.7340556065120486,3.0,0,3.0,1.0,0,0,0.85,0.95
6409,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.09999999999999998,0.5,2,1,0,0.7600800217448973,6.474416570765511,0.7600800217448973,1.3736385935146187,2.0,0,2.0,1.0,0,0,0.9,0.95
6410,0,0,0,0,0.0,0,0,694.13,694.834915467037,2.0,0.0010155381081886627,0.050000000000000044,0.44999999999999996,2,1,0,0.24305760517919822,7.142154244496783,0.24305760517919822,1.9351124720038373,1.0,0,1.0,1.0,0,0,0.95,0.95
6411,1,0,0,0,-1.0,0,1,696.07,695.5354939840279,1.0,-0.0007678911833179924,0.050000000000000044,0.44999999999999996,2,1,0,0.8606077130177665,6.529393300938643,0.8606077130177665,1.318974864516332,1.0,0,1.0,1.0,0,0,0.95,0.95
6412,0,0,0,0,0.0,0,0,696.07,695.5354939840279,1.0,-0.0007678911833179924,0.19999999999999996,0.35,2,1,0,1.3936332372501274,6.095960350692682,1.3936332372501274,0.8153228462824931,4.0,0,4.0,1.0,0,0,0.8,0.95
6413,0,0,0,0,0.0,0,0,696.07,695.5354939840279,1.0,-0.0007678911833179924,0.15000000000000002,0.30000000000000004,2,1,0,1.488485061768894,6.298953340863204,1.488485061768894,0.8083163911594332,3.0,0,3.0,1.0,0,0,0.85,0.95
6414,0,0,0,0,0.0,0,0,696.07,695.5354939840279,1.0,-0.0007678911833179924,0.09999999999999998,0.25,2,1,0,1.7514793057284423,5.978513160893556,1.7514793057284423,0.5283792318956392,2.0,0,2.0,1.0,0,0,0.9,0.95
6415,0,0,0,0,0.0,0,0,696.07,695.5354939840279,1.0,-0.0007678911833179924,0.050000000000000044,0.19999999999999996,2,1,0,1.68577892623382,6.336903915481044,1.68577892623382,0.6804047473353774,1.0,0,1.0,1.0,0,0,0.95,0.95
