theme,days,top5_days,top10_days,top5_pct,top10_pct,avg_rank,median_rank,best_rank,worst_rank,latest_rank,avg_fwd_5d,avg_fwd_5d_when_top5,avg_fwd_5d_when_top10
copper_metals,2108,66,166,0.031309297912713474,0.07874762808349146,52.7803605313093,56.0,1,95,56,0.00563134429528896,0.020736557437765868,0.014720096847097311
restaurants_food,2108,66,150,0.031309297912713474,0.07115749525616698,47.29316888045541,48.0,1,95,72,0.0035520531809142,-0.0022762816685112405,0.002254735085391352
quantum_computing,2108,69,136,0.03273244781783681,0.06451612903225806,59.36053130929791,65.0,1,95,7,0.10099740200677412,0.059086590140884895,0.05574289564290216
aerospace,2108,70,181,0.03320683111954459,0.08586337760910816,45.644686907020876,45.0,1,95,23,0.0060826795216808735,0.004959108032137584,0.008638833600703845
real_estate_reits,2108,71,173,0.033681214421252374,0.08206831119544591,48.26375711574953,49.0,1,95,36,0.0020101009258616763,0.0008478364301255825,-0.004865196663867751
cybersecurity,2108,71,220,0.033681214421252374,0.10436432637571158,44.94592030360531,42.0,1,95,4,0.004970527477357536,0.009279763964071996,0.009974342016236724
healthcare,2108,73,145,0.03462998102466793,0.06878557874762808,48.46821631878558,48.0,1,95,37,0.0029045560786184485,0.006708082863109733,0.002618793375104542
energy,2108,75,208,0.03557874762808349,0.09867172675521822,48.063092979127134,50.0,1,95,28,0.004828723782654621,0.0006922269919430902,0.003700959604580653
rare_earth_critical_minerals,2108,76,173,0.036053130929791274,0.08206831119544591,56.72296015180266,62.0,1,95,92,0.0077419589272776064,-0.000612634542763189,0.0025729358477418296
construction_infrastructure,2108,77,182,0.03652751423149905,0.08633776091081594,44.855313092979124,45.0,1,94,90,0.003790565429847376,0.0024536531041560346,0.005700885072086698
payments,2108,77,188,0.03652751423149905,0.08918406072106262,43.878557874762805,43.0,1,95,70,0.002823339648811466,0.0105887717635414,0.0052052261090843556
electronics_components,2108,78,206,0.03700189753320683,0.09772296015180265,43.75237191650854,43.0,1,95,32,0.0058032029434127485,0.005405517679511945,0.011285336391337778
additive_manufacturing,2108,80,121,0.03795066413662239,0.05740037950664137,63.45540796963947,73.0,1,95,16,0.0037059086728179393,0.04758241478143958,0.02867984490098264
agriculture_food_inputs,2108,80,172,0.03795066413662239,0.08159392789373814,48.56261859582543,51.0,1,94,79,0.002392740750476237,0.003263836780179162,0.003281833320132723
consumer,2108,80,187,0.03795066413662239,0.08870967741935484,46.1584440227704,45.0,1,95,68,0.003427336953987129,0.0020095600821652968,-0.0007404998531542875
asset_managers_alts,2108,80,192,0.03795066413662239,0.09108159392789374,40.770872865275145,39.0,1,94,63,0.0034421805784791877,-0.00869650374525357,-0.0038463469448178234
digital_ads_media,2108,81,171,0.03842504743833017,0.08111954459203036,48.10056925996205,48.0,1,95,59,0.005432111676694552,0.023920915075634666,0.0183576350373875
restaurants,2108,83,191,0.03937381404174573,0.09060721062618596,46.172201138519924,46.0,1,95,65,0.00322492841168526,0.004839021179026183,0.0033945899927342845
consumer_internet,2108,85,156,0.04032258064516129,0.07400379506641366,51.6157495256167,54.0,1,95,77,0.0024003276375539136,0.019602780183519637,0.011377938980657913
mega_banks,2108,86,227,0.04079696394686907,0.10768500948766603,45.48007590132827,44.0,1,95,46,0.003524807158276958,0.0021144595070176336,0.0038333810452247396
business_apps,2108,88,213,0.04174573055028463,0.10104364326375712,45.67125237191651,46.0,1,95,61,0.0026373935537766543,-0.005541014076939455,-0.0014670923952700716
travel,2108,89,199,0.04222011385199241,0.0944022770398482,48.346774193548384,50.0,1,95,83,0.002818336685055777,-0.006781030687476699,3.939795560942847e-05
utilities_yield,2108,89,211,0.04222011385199241,0.10009487666034156,44.75,43.0,1,95,26,0.004455357880699582,0.0012731065369764169,-0.0013518453983266724
airlines_travel,2108,90,174,0.04269449715370019,0.0825426944971537,52.49620493358634,54.0,1,95,62,0.002173112928660621,-0.008692909842323081,-0.0030454955165985843
cloud_neocloud,2108,90,177,0.04269449715370019,0.08396584440227704,50.48529411764706,51.0,1,95,13,0.010596687700052112,0.006133364199598888,0.017591864451690094
vertical_software,2108,91,223,0.04316888045540797,0.10578747628083492,42.07068311195446,41.0,1,94,75,0.0035059202757984,0.006749181569948681,0.004510067857989363
biotech_innovation,2108,92,136,0.04364326375711575,0.06451612903225806,55.195445920303605,57.0,1,95,50,0.0195209233951444,0.02157903204673561,0.03391080930835944
diagnostics_tools,2108,97,212,0.04601518026565465,0.10056925996204934,48.443548387096776,49.0,1,95,20,0.002981539895075859,0.00492570342268342,0.007716606387670909
fintech,2108,97,237,0.04601518026565465,0.11242884250474383,44.073055028462996,43.0,1,95,78,0.004257990067651469,0.009338509461765858,0.006316869652465041
consumer_staples,2108,98,209,0.046489563567362426,0.099146110056926,47.53225806451613,46.5,1,95,43,0.002381456383180179,-0.00025940233878613873,0.0007676674885248801
crypto_infrastructure,2108,99,173,0.04696394686907021,0.08206831119544591,59.584440227703986,65.0,1,95,19,0.015769203546234845,0.054137333021638784,0.05688161241373029
memory_storage,2108,99,228,0.04696394686907021,0.10815939278937381,46.11053130929791,45.0,1,95,3,0.007519543887564921,0.02079851535951029,0.015483867230305521
storage,2108,100,226,0.04743833017077799,0.10721062618595825,43.61764705882353,42.0,1,95,5,0.006759624785572953,0.010398361840241956,0.009844166118553259
defense,2108,100,192,0.04743833017077799,0.09108159392789374,41.552656546489565,40.0,1,95,49,0.004883026463420141,0.011919107217081996,0.010427919639791389
asset_managers,2108,102,241,0.04838709677419355,0.11432637571157495,42.56024667931689,42.0,1,95,42,0.003830149033977897,-0.0026790378208216385,-0.0003594863929357896
pharma,2108,103,242,0.048861480075901326,0.11480075901328274,47.381878557874764,47.0,1,95,40,0.0022903403113893233,-0.0018685330221779248,0.0009205655307381499
drones_autonomy,2108,110,202,0.05218216318785579,0.09582542694497154,49.67172675521822,50.0,1,95,35,0.006403256583279205,0.009250350831232943,0.010743189027759607
lithium_battery_materials,2108,111,184,0.05265654648956357,0.0872865275142315,57.50379506641366,62.0,1,95,89,0.006993853380614418,-0.0011516068674741803,0.008092472625372537
nuclear,2108,111,194,0.05265654648956357,0.0920303605313093,56.831593927893735,61.0,1,95,95,0.010589068894118153,0.01540232639993314,0.012368817861584957
mega_cap_platforms,2108,111,257,0.05265654648956357,0.12191650853889943,37.75901328273245,35.0,1,91,47,0.005526314759101974,0.010116220751863664,0.010725828395965512
ai_apps_agents,2108,113,271,0.053605313092979126,0.12855787476280836,43.58870967741935,42.0,1,95,48,0.005871071824115283,-0.0017441446513184187,0.007867072274975316
semicap_equipment,2108,114,255,0.054079696394686905,0.12096774193548387,46.32210626185958,45.0,1,95,67,0.0076473605125202074,0.0146067248409306,0.007768208722867651
regional_banks,2108,115,232,0.05455407969639469,0.11005692599620494,49.789373814041745,52.0,1,95,82,0.0024938996649623833,0.00034554057628930455,0.0012563261954150868
insurance,2108,115,274,0.05455407969639469,0.12998102466793168,44.00853889943074,43.0,1,95,38,0.003018769525644649,0.002554743214229947,0.0030885688419860116
managed_care,2108,116,252,0.05502846299810247,0.11954459203036052,48.09250474383302,48.0,1,95,21,0.0028015726003235717,-0.0009890547694490267,-0.0005318548239513718
creative_software,2108,116,258,0.05502846299810247,0.12239089184060721,43.37713472485768,40.0,1,95,57,0.003627513115339089,0.002747116963523807,0.0024458654481619986
networking_optical,2108,120,225,0.056925996204933584,0.10673624288425047,45.91413662239089,46.0,1,95,25,0.008010445148803289,0.019357512610327907,0.016563163001390276
semis,2108,120,250,0.056925996204933584,0.11859582542694497,42.60910815939279,40.0,1,95,14,0.007050251407243678,0.009539536371586296,0.005457750730782807
renewables_storage,2108,123,216,0.058349146110056926,0.10246679316888045,53.75426944971537,57.0,1,95,9,0.00853494890903746,0.02377001953038688,0.02423648689278427
managed_care_insurance,2108,125,225,0.059297912713472484,0.10673624288425047,49.07495256166983,50.0,1,95,12,0.002946253504683784,0.00879021403400856,0.00745315672294197
medtech,2108,125,245,0.059297912713472484,0.11622390891840607,43.22106261859582,43.0,1,95,44,0.0029627516755694207,-0.003059206091534916,0.0020421525029002815
networking,2108,126,269,0.05977229601518026,0.12760910815939278,42.368595825426944,41.5,1,95,1,0.006136969007957887,0.00853956151177602,0.013584709682639315
nuclear_uranium,2108,128,229,0.06072106261859583,0.10863377609108159,53.463946869070206,57.0,1,95,93,0.010070375457241576,0.017994528098924028,0.014286410624139774
china_internet,2108,133,225,0.06309297912713473,0.10673624288425047,53.86432637571158,59.0,1,95,80,0.003744904939426949,0.005044430650256732,0.009438549909609194
