steps,progress_pct,rollout_avg_reward,rollout_avg_abs_reward,loss_total,loss_pi,loss_v,entropy,approx_kl,clipfrac,sps
307200.0,12.288,0.002058531390503049,0.002280757063999772,-0.005018651664916736,-0.00150254878293102,0.0003434727266418728,1.229279762506485,0.008026937847413743,0.09876302083333334,2429.330586031003
319488.0,12.77952,0.002132734749466181,0.002346932888031006,-0.004258277036327248,-0.0006907040854760756,0.00019836304603207584,1.2222514952222505,0.009889701906164798,0.12859700520833334,2428.832870228684
331776.0,13.27104,0.0024290482979267836,0.002666178857907653,-0.005357973109736728,-0.001958129279470692,0.0003544925297319423,1.192363397280375,0.010106438474031166,0.12010091145833333,2428.7764053353617
344064.0,13.76256,0.002373557770624757,0.0025595661718398333,-0.0039680565814099586,-0.0005773693458953252,0.00018614388566978352,1.161252999305725,0.008141520516558861,0.107470703125,2429.2325292642468
356352.0,14.25408,0.0016427779337391257,0.0019051303388550878,-0.003611418341946167,-7.525351053724686e-05,0.0002924835585569478,1.227468763788541,0.007500074882409535,0.10419921875,2429.6129215334277
368640.0,14.7456,0.00172531942371279,0.002079871715977788,-0.0035160968739849827,4.9721554387360814e-05,0.00017515967332049816,1.217799425125122,0.00884334980607188,0.10538736979166667,2430.3127352398133
380928.0,15.23712,0.0018142134649679065,0.002164763631299138,-0.00467318655961814,-0.0011952118734673907,0.0001234055006231453,1.179892518122991,0.00990914410407034,0.12057291666666667,2431.0713975830477
393216.0,15.72864,0.002040181076154113,0.002415272407233715,-0.0023103947334069137,0.0011508598186386128,0.00024047067593831647,1.1938299392660459,0.01391662106422397,0.15691731770833334,2431.6519989384024
405504.0,16.22016,0.0019207140430808067,0.0023190060164779425,-0.0028104316171569128,0.0007280556543264538,0.00017098523615762437,1.2079933280746142,0.007915393493021838,0.11197916666666667,2431.086337341013
417792.0,16.71168,0.0022884358186274767,0.0025690782349556684,-0.003825271642805698,-0.000734863756224513,0.0006100372507110781,1.1318087687095006,0.01040574498862649,0.11653645833333333,2430.77916571906
430080.0,17.2032,0.0023659474682062864,0.002794293686747551,-0.0038536564611907427,-0.0005931743944529444,0.00020647384947854638,1.1212396278977395,0.009945972297767487,0.11946614583333333,2431.1114713827074
442368.0,17.69472,0.0023405062966048717,0.002606260823085904,-0.00420381244039163,-0.0010077625687699766,0.00016887068938255349,1.0934949681162833,0.007742022164165974,0.09405924479166666,2431.103243419811
454656.0,18.18624,0.0025253614876419306,0.0027594089042395353,-0.004138833626833123,-0.0010477912806284924,0.0002043218595038828,1.064401127398014,0.009706194527097978,0.11193033854166666,2431.6442877717814
466944.0,18.67776,0.0024620459880679846,0.002697134390473366,-0.00554721612134017,-0.0025193204094345373,0.0001871404651865305,1.0404886769751707,0.008542457038614278,0.11427408854166667,2431.988259247345
479232.0,19.16928,0.0024530519731342793,0.0026267266366630793,-0.002082048239632665,0.0005073277628980577,0.0009799102537726867,1.02644364113609,0.010626741916833755,0.10930989583333334,2431.81512893414
491520.0,19.6608,0.002484496682882309,0.0026587743777781725,-0.0021019242524441023,0.0009073872410226613,0.00017684010563243647,1.0325772007306417,0.008862179933930747,0.117236328125,2431.4837317745805
503808.0,20.15232,0.0024515939876437187,0.002646459499374032,-0.0033271642280548503,-0.00031075814234403273,0.00015109144036008123,1.0306505993008614,0.009448642204127585,0.10843098958333333,2431.3398552360904
516096.0,20.64384,0.0025818704161792994,0.0027722008526325226,-0.002905441258432499,1.2199180976798137e-06,0.00026238194865679055,1.012617302685976,0.009680815250612795,0.10520833333333333,2431.0230231378505
528384.0,21.13536,0.0025268548633903265,0.002696329029276967,-0.0010504188947379589,0.0018828883223856489,0.00015453669360188845,1.0035252091785272,0.007247496874576124,0.10237630208333333,2431.5839533784624
540672.0,21.62688,0.002307359827682376,0.002473861677572131,-0.0018757739579693103,0.00108440372083957,0.0001566927303125946,1.012841344376405,0.008573315447817247,0.125634765625,2431.04578000981
552960.0,22.1184,0.002296488732099533,0.002485568867996335,-0.002845469879199906,8.706007113990684e-05,0.0001524933074506407,1.0029254702230295,0.009260867255701062,0.11866861979166667,2431.397715362331
565248.0,22.60992,0.002315947087481618,0.0024827488232403994,-0.0031214520694144692,-0.00023488902758496503,0.0003003969921337557,1.0122538777689138,0.011830372918241967,0.14090169270833333,2430.9692127082903
577536.0,23.10144,0.0023655174300074577,0.0026408385019749403,-0.0031976578213895363,-0.0002981514708759884,0.0001922609779891597,0.9985455987354119,0.011174334369328184,0.12216796875,2430.4188465177413
589824.0,23.59296,0.0022813871037214994,0.0024669000413268805,-0.0019176347418882263,0.0009332022067004194,0.0001650832957542055,0.9777929241458575,0.009415949007961898,0.116259765625,2430.0289671956034
